Sl. No.	Description	Packing	Ratio	CAL	% Change	Net Rate
1	CAT5E 24AWG	305 MTR. COIL	81.71	5057.14	100	5310.00
2	CAT 6 UTP (23 AWG) MESH COIL	305 MTR. COIL	81.20	5933.33	100	6230.00
3	CAT 6 UTP (23 AWG) PLASTIC REEL	305 MTR. COIL	79.66	6047.62	100	6350.00
4	CAT 6 UTP (23 AWG) MESH COIL PE JACKET	305 MTR. COIL	81.77	5895.24	100	6190.00
5	CAT 6 UTP (23 AWG) PLASTIC REEL PE ACKET	305 MTR. COIL	80.21	6009.52	100	6310.00
6	CAT 6 UTP (24 AWG) MESH COIL	305 MTR. COIL	79.39	5152.38	100	5410.00
7	CAT 6 UTP (24 AWG) PLASTIC REEL	305 MTR. COIL	77.16	5304.76	100	5570.00
8	CAT 6 SFTP (24 AWG)	305 MTR. COIL	72.26	6742.86	100	7080.00
9	CAT 6 A F(UTP)	305 MTR. COIL	69.50	9800.00	100	10290.00
10	CAT 6 A SFTP PE SHEATHING	305 MTR. COIL	71.87	10142.86	100	10650.00
11	CAT 6 A SFTP PVC SHEATHING	305 MTR. COIL	69.33	10514.29	100	11040.00
12	CAT 7 (23 AWG) ATC	305 MTR. COIL	72.07	21285.71	100	22350.00
13	CAT 7 (23 AWG) ALLOY	305 MTR. COIL	64.97	16323.81	100	17140.00
14	CAT 7 (23 AWG) ATC LSZH Jacket	305 MTR. COIL	68.97	22238.10	100	23350.00
15	CAT 7 (23 AWG) ALLOY LSZH Jacket	305 MTR. COIL	61.42	17276.19	100	18140.00